AAG,ACC,TCC,experiment
638.4555857,,,Yield Potential
610.3350124,,,Yield Potential
653.0681843,,,Yield Potential
658.4741093,,,Yield Potential
612.1150149,,,Yield Potential
641.3434476,,,Yield Potential
623.0681158,,,Yield Potential
594.1238696,,,Yield Potential
618.8081132,,,Yield Potential
692.9354068,,,Yield Potential
657.961883,,,Yield Potential
642.1467841,,,Yield Potential
594.5463511,,,Yield Potential
559.9719031,,,Yield Potential
587.0353689,,,Yield Potential
557.8904019,,,Yield Potential
585.1997285,,,Yield Potential
