Group,YLD,TGW,GM2,BM,HI,Height
Elite,302.735238,34.63087704,8526.869997,629.276857,0.47775,62.52510946
Elite,273.2307553,35.01410811,7540.251777,593.6986322,0.44575,64.76321433
Elite,276.6914964,30.1166076,9383.745736,594.8265405,0.45675,61.27245354
Exotic-der,454.7427255,36.17707484,12279.34229,967.3957703,0.46375,68.86338912
Elite,314.0479484,38.39669246,8251.690074,672.3382705,0.46225,61.20024115
Elite,312.2115841,34.20468906,9258.231265,687.0979775,0.454,67.5484845
Elite,189.6337423,30.49050584,6234.670785,414.9103815,0.45625,60.07129087
Elite,252.1527693,34.16417064,7175.68968,542.7091697,0.455,63.69705022
Elite,208.7269229,30.03911713,6740.623951,453.8760846,0.46125,58.91137981
Exotic-der,405.5322817,37.97830586,10611.34246,843.7901089,0.4865,71.21108449
Exotic-der,397.6898915,38.52334764,10176.64603,794.9690518,0.502,71.63513734
Exotic-der,185.7169193,31.93884778,5663.300527,416.7990325,0.4505,67.91142213
Exotic-der,450.9012558,39.69035104,11576.35484,938.9893448,0.47825,68.561894
Exotic-der,263.6170037,35.35978712,7485.238538,564.9837598,0.465,69.33963534
Elite,169.7105891,27.07196444,6430.25722,381.2936833,0.4555,58.89773734
Elite,363.3198038,36.48526618,10024.9105,752.2201149,0.48525,66.10910638
Elite,230.8840627,30.43276669,7361.66654,500.1722065,0.45625,61.32486718
Exotic-der,268.8443955,30.80553173,8712.606083,591.8204732,0.45075,65.72780821
Exotic-der,450.8310767,35.83282922,12473.85444,987.765244,0.46225,70.60870307
Exotic-der,332.895234,34.49464552,9653.062322,732.9671932,0.464,68.46256625
Exotic-der,254.1143213,34.49712771,7629.038603,566.3595554,0.45775,60.30378073
Exotic-der,390.1068526,32.78042131,12204.35829,849.746868,0.46325,67.65072149
Exotic-der,213.3427796,31.45737922,6338.24238,493.0678838,0.4185,59.35665376
Elite,229.6560062,33.15536781,6966.792557,500.553783,0.46675,62.59005107
Exotic-der,356.3656674,37.74593974,9532.399871,797.1306758,0.449,73.57715576
Elite,327.0363649,29.66955654,11211.76106,702.9478073,0.4695,67.91475576
Exotic-der,405.4951714,36.35312383,11139.35993,895.9645973,0.443,77.29482663
Elite,290.8926952,33.83643988,8383.05437,644.8206565,0.447,60.67844055
Elite,261.2218087,31.79332552,7983.510893,559.0284687,0.45175,61.71706038
Elite,127.7520317,29.41294314,4386.60868,278.9584688,0.46425,59.12891242
